remote_share,remote_attrition_coef,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
0.4,-1.0,18,990000401018,704,16959,1.7289795918367348,1225,6193,0.8186383056780799,5
0.4,-1.0,19,990000401019,717,16993,1.7365368682684341,1207,6108,0.8901374194143378,1
0.6,-1.0,0,990000601000,701,16979,1.6842546063651591,1194,6222,0.8669014629778443,1
0.6,-1.0,1,990000601001,715,16847,1.9135606661379858,1261,6141,0.8952495920309913,0
0.6,-1.0,2,990000601002,714,16940,1.7504038772213246,1238,6181,0.8960765711503763,0
0.6,-1.0,3,990000601003,725,16890,1.9357262103505843,1198,6110,0.8924459175354444,1
0.6,-1.0,4,990000601004,703,16924,1.8487394957983194,1190,6140,0.8809688777030242,3
0.6,-1.0,5,990000601005,710,16934,1.8907342657342658,1144,6139,0.8954530207041257,0
0.6,-1.0,6,990000601006,717,16903,1.8330658105939004,1246,6137,0.8932608218743981,1
0.6,-1.0,7,990000601007,717,16953,1.7806291390728477,1208,6137,0.8956711870830517,0
0.6,-1.0,8,990000601008,714,16865,1.924342105263158,1216,6153,0.8939878372649064,1
0.6,-1.0,9,990000601009,711,16862,1.8713725490196078,1275,6142,0.8596230233793227,2
0.6,-1.0,10,990000601010,703,16916,1.8434134217067109,1207,6124,0.8617932492095367,2
0.6,-1.0,11,990000601011,700,16886,1.9181818181818182,1210,6124,0.895372286273242,1
0.6,-1.0,12,990000601012,721,16929,1.7935222672064777,1235,6150,0.8959113063732438,0
0.6,-1.0,13,990000601013,712,16849,1.9242304656669298,1267,6087,0.8183309120369311,3
0.6,-1.0,14,990000601014,720,16908,1.8081861958266452,1246,6173,0.89363651507977,1
0.6,-1.0,15,990000601015,707,16821,1.9204545454545454,1320,6062,0.8836161149903393,2
0.6,-1.0,16,990000601016,716,16912,1.8588039867109634,1204,6152,0.8924672945754202,2
0.6,-1.0,17,990000601017,697,16839,1.9305331179321485,1238,6160,0.8506575820075595,1
0.6,-1.0,18,990000601018,716,16832,1.9014740108611328,1289,6145,0.8949423421670156,1
0.6,-1.0,19,990000601019,717,16890,1.8517017828200972,1234,6154,0.8889886056622126,1
0.8,-1.0,0,990000801000,713,16874,1.8647773279352227,1235,6176,0.895835816288274,1
0.8,-1.0,1,990000801001,701,16799,2.0007949125596185,1258,6095,0.8956565745937477,0
0.8,-1.0,2,990000801002,700,16875,1.9195305951383068,1193,6121,0.8582904362900171,1
0.8,-1.0,3,990000801003,713,16784,2.037903225806452,1240,6115,0.8941123474353769,1
0.8,-1.0,4,990000801004,699,16763,2.01897233201581,1265,6153,0.8958958779172492,0
0.8,-1.0,5,990000801005,709,16760,2.0467791411042944,1304,6027,0.8965408253277246,0
0.8,-1.0,6,990000801006,689,16750,2.0981644054269752,1253,6091,0.8751982094038461,2
0.8,-1.0,7,990000801007,710,16796,1.989155693261038,1291,6063,0.895837863838213,0
0.8,-1.0,8,990000801008,711,16869,1.9134693877551021,1225,6110,0.8960431576117243,0
0.8,-1.0,9,990000801009,718,16775,2.085995085995086,1221,6104,0.8932118661820916,2
0.8,-1.0,10,990000801010,711,16747,2.1365461847389557,1245,6053,0.8926040481393247,1
0.8,-1.0,11,990000801011,720,16769,2.0679611650485437,1236,6138,0.8951384543872232,0
0.8,-1.0,12,990000801012,697,16750,2.163621262458472,1204,6063,0.8719064697728859,2
0.8,-1.0,13,990000801013,717,16790,2.043548387096774,1240,6085,0.8956219043057256,0
0.8,-1.0,14,990000801014,722,16788,2.1185185185185187,1215,6044,0.8921180570802036,1
0.8,-1.0,15,990000801015,710,16811,2.0114099429502854,1227,6104,0.8957881426416361,0
0.8,-1.0,16,990000801016,721,16837,1.948371723590151,1259,6086,0.8959169314321065,0
0.8,-1.0,17,990000801017,712,16840,1.97979797979798,1188,6170,0.895324650339702,0
0.8,-1.0,18,990000801018,707,16772,2.063453815261044,1245,6125,0.8958167514553178,0
0.8,-1.0,19,990000801019,716,16882,1.8291139240506329,1264,6156,0.8942233130589876,1
1.0,-1.0,0,990001001000,701,16670,2.2289156626506026,1245,6135,0.8950664610245539,1
1.0,-1.0,1,990001001001,692,16758,2.0929853181076674,1226,6094,0.8765882186256574,1
