remote_share,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.5,19,3400,676,2.923076923076923,39,248
0.6,0,1600,674,2.3214285714285716,56,253
0.6,1,1700,663,3.090909090909091,44,240
0.6,2,1800,662,4.170731707317073,41,239
0.6,3,1900,683,2.306122448979592,49,256
0.6,4,2000,645,3.5357142857142856,56,246
0.6,5,2100,668,3.2857142857142856,42,234
0.6,6,2200,645,3.5,62,236
0.6,7,2300,643,4.211538461538462,52,219
0.6,8,2400,671,2.526315789473684,57,259
0.6,9,2500,654,3.72,50,248
0.6,10,2600,663,3.3541666666666665,48,250
0.6,11,2700,674,3.0454545454545454,44,228
0.6,12,2800,669,2.902439024390244,41,262
0.6,13,2900,665,3.5,50,225
0.6,14,3000,673,2.702127659574468,47,254
0.6,15,3100,663,3.404255319148936,47,242
0.6,16,3200,678,2.744186046511628,43,254
0.6,17,3300,658,3.630434782608696,46,256
0.6,18,3400,669,3.152173913043478,46,245
0.6,19,3500,662,3.087719298245614,57,239
0.7,0,1700,655,3.8297872340425534,47,237
0.7,1,1800,651,3.5283018867924527,53,237
0.7,2,1900,662,3.297872340425532,47,250
0.7,3,2000,657,3.8125,48,249
0.7,4,2100,649,3.7222222222222223,54,228
0.7,5,2200,638,3.7,60,233
0.7,6,2300,668,2.76271186440678,59,229
0.7,7,2400,669,3.5714285714285716,42,258
0.7,8,2500,657,3.3846153846153846,52,250
0.7,9,2600,662,3.2745098039215685,51,249
0.7,10,2700,644,3.293103448275862,58,220
0.7,11,2800,655,3.32,50,258
0.7,12,2900,671,3.3469387755102042,49,228
0.7,13,3000,668,3.148936170212766,47,251
0.7,14,3100,676,2.7346938775510203,49,247
0.7,15,3200,674,2.3636363636363638,44,254
0.7,16,3300,641,3.78,50,251
0.7,17,3400,672,2.9591836734693877,49,246
0.7,18,3500,663,3.0350877192982457,57,240
0.7,19,3600,661,3.425531914893617,47,240
0.8,0,1800,656,4.142857142857143,42,238
0.8,1,1900,662,3.2888888888888888,45,250
0.8,2,2000,645,4.083333333333333,48,245
0.8,3,2100,655,3.6739130434782608,46,230
0.8,4,2200,645,3.5925925925925926,54,236
0.8,5,2300,657,3.9411764705882355,51,224
0.8,6,2400,652,3.1206896551724137,58,253
0.8,7,2500,657,3.2363636363636363,55,250
0.8,8,2600,663,3.4444444444444446,45,250
0.8,9,2700,654,3.3962264150943398,53,223
0.8,10,2800,655,3.1914893617021276,47,258
0.8,11,2900,641,3.9491525423728815,59,215
0.8,12,3000,698,2.4166666666666665,36,263
0.8,13,3100,642,3.3833333333333333,60,236
0.8,14,3200,675,3.2857142857142856,35,253
0.8,15,3300,622,4.37037037037037,54,245
0.8,16,3400,672,3.1818181818181817,44,246
0.8,17,3500,648,3.193548387096774,62,235
0.8,18,3600,663,3.6739130434782608,46,241
0.8,19,3700,657,2.806451612903226,62,233
0.9,0,1900,656,3.673469387755102,49,248
0.9,1,2000,639,4.088888888888889,45,244
0.9,2,2100,647,3.547169811320755,53,228
0.9,3,2200,629,3.8870967741935485,62,231
0.9,4,2300,659,4.043478260869565,46,225
0.9,5,2400,653,3.107142857142857,56,254
0.9,6,2500,640,4.230769230769231,52,243
0.9,7,2600,621,4.344827586206897,58,232
0.9,8,2700,659,3.738095238095238,42,224
0.9,9,2800,635,4.204081632653061,49,252
0.9,10,2900,641,3.9655172413793105,58,215
0.9,11,3000,698,2.4166666666666665,36,263
0.9,12,3100,634,4.09433962264151,53,234
0.9,13,3200,670,3.5277777777777777,36,252
0.9,14,3300,622,4.622641509433962,53,245
0.9,15,3400,660,3.9069767441860463,43,242
0.9,16,3500,657,3.630434782608696,46,238
0.9,17,3600,656,4.111111111111111,45,238
0.9,18,3700,658,3.0925925925925926,54,234
0.9,19,3800,648,4.02,50,232
1.0,0,2000,639,4.088888888888889,45,244
1.0,1,2100,673,2.8444444444444446,45,236
1.0,2,2200,648,3.381818181818182,55,237
1.0,3,2300,657,3.6346153846153846,52,224
1.0,4,2400,649,3.76,50,251
1.0,5,2500,640,4.230769230769231,52,243
1.0,6,2600,621,4.344827586206897,58,232
1.0,7,2700,674,3.757575757575758,33,228
1.0,8,2800,635,4.204081632653061,49,252
1.0,9,2900,650,3.7017543859649122,57,218
1.0,10,3000,668,3.357142857142857,42,251
1.0,11,3100,631,4.404255319148936,47,233
1.0,12,3200,668,3.8205128205128207,39,250
1.0,13,3300,622,4.622641509433962,53,245
1.0,14,3400,642,4.4,45,238
1.0,15,3500,657,3.630434782608696,46,238
1.0,16,3600,655,4.136363636363637,44,238
1.0,17,3700,664,3.340909090909091,44,237
1.0,18,3800,645,4.115384615384615,52,231
1.0,19,3900,669,3.707317073170732,41,236
