remote_share,block_prob,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
1.0,0.01,4,102400,680,3.8260869565217392,23,244
1.0,0.01,5,102500,663,5.178571428571429,28,254
1.0,0.01,6,102600,673,4.8,20,248
1.0,0.01,7,102700,695,2.56,25,243
1.0,0.01,8,102800,701,3.176470588235294,17,251
1.0,0.01,9,102900,671,5.166666666666667,24,246
1.0,0.01,10,103000,680,3.769230769230769,26,247
1.0,0.01,11,103100,666,4.225806451612903,31,256
1.0,0.01,12,103200,690,4.0,20,252
1.0,0.01,13,103300,690,3.5,22,249
1.0,0.01,14,103400,670,4.419354838709677,31,243
1.0,0.01,15,103500,692,2.9047619047619047,21,253
1.0,0.01,16,103600,695,3.037037037037037,27,250
1.0,0.01,17,103700,689,3.8,20,249
1.0,0.01,18,103800,683,3.3636363636363638,33,246
1.0,0.01,19,103900,681,3.1333333333333333,30,252
0.0,0.02,0,201000,695,1.8823529411764706,51,257
0.0,0.02,1,201100,687,1.9285714285714286,42,244
0.0,0.02,2,201200,689,2.0444444444444443,45,263
0.0,0.02,3,201300,695,1.6818181818181819,44,254
0.0,0.02,4,201400,692,1.9555555555555555,45,257
0.0,0.02,5,201500,692,2.0892857142857144,56,247
0.0,0.02,6,201600,689,2.037037037037037,54,268
0.0,0.02,7,201700,679,2.2413793103448274,58,253
0.0,0.02,8,201800,699,2.1818181818181817,44,252
0.0,0.02,9,201900,703,2.090909090909091,44,242
0.0,0.02,10,202000,679,2.1470588235294117,68,233
0.0,0.02,11,202100,695,1.5833333333333333,60,252
0.0,0.02,12,202200,693,2.2083333333333335,48,260
0.0,0.02,13,202300,683,2.3529411764705883,51,245
0.0,0.02,14,202400,672,2.0491803278688523,61,246
0.0,0.02,15,202500,690,1.8478260869565217,46,270
0.0,0.02,16,202600,693,2.0384615384615383,52,252
0.0,0.02,17,202700,689,2.020408163265306,49,262
0.0,0.02,18,202800,680,1.8333333333333333,54,263
0.0,0.02,19,202900,695,1.8275862068965518,58,256
0.2,0.02,0,201200,676,2.5185185185185186,54,258
0.2,0.02,1,201300,695,1.9487179487179487,39,254
0.2,0.02,2,201400,656,3.240740740740741,54,244
0.2,0.02,3,201500,670,2.5254237288135593,59,240
0.2,0.02,4,201600,673,2.7115384615384617,52,261
0.2,0.02,5,201700,668,3.0208333333333335,48,248
0.2,0.02,6,201800,687,2.630434782608696,46,247
0.2,0.02,7,201900,701,1.9444444444444444,54,240
0.2,0.02,8,202000,684,2.156862745098039,51,236
0.2,0.02,9,202100,682,2.462962962962963,54,245
0.2,0.02,10,202200,674,2.305084745762712,59,254
0.2,0.02,11,202300,683,3.0,38,245
0.2,0.02,12,202400,672,2.537037037037037,54,246
0.2,0.02,13,202500,690,2.1944444444444446,36,270
0.2,0.02,14,202600,679,2.5625,48,248
0.2,0.02,15,202700,673,2.4285714285714284,56,256
0.2,0.02,16,202800,663,2.810344827586207,58,257
0.2,0.02,17,202900,683,2.28,50,253
0.2,0.02,18,203000,688,1.9473684210526316,57,253
0.2,0.02,19,203100,682,2.6511627906976742,43,248
0.4,0.02,0,201400,676,2.851063829787234,47,250
0.4,0.02,1,201500,661,3.3137254901960786,51,237
0.4,0.02,2,201600,661,3.3333333333333335,48,258
0.4,0.02,3,201700,674,2.8333333333333335,48,250
0.4,0.02,4,201800,684,3.05,40,246
0.4,0.02,5,201900,667,3.2222222222222223,54,226
0.4,0.02,6,202000,687,2.6956521739130435,46,235
0.4,0.02,7,202100,666,2.5671641791044775,67,237
0.4,0.02,8,202200,670,2.7777777777777777,45,254
0.4,0.02,9,202300,683,2.9166666666666665,36,245
0.4,0.02,10,202400,660,3.5208333333333335,48,242
0.4,0.02,11,202500,683,2.5277777777777777,36,268
0.4,0.02,12,202600,693,2.1739130434782608,46,252
0.4,0.02,13,202700,661,3.0,54,251
0.4,0.02,14,202800,674,2.3333333333333335,54,260
0.4,0.02,15,202900,665,3.1956521739130435,46,246
0.4,0.02,16,203000,688,2.6578947368421053,38,253
0.4,0.02,17,203100,671,3.1914893617021276,47,244
0.4,0.02,18,203200,669,3.0185185185185186,54,237
0.4,0.02,19,203300,673,2.7547169811320753,53,244
0.6,0.02,0,201600,644,3.641509433962264,53,252
0.6,0.02,1,201700,663,3.8461538461538463,39,247
0.6,0.02,2,201800,663,4.205128205128205,39,235
0.6,0.02,3,201900,653,3.482142857142857,56,222
0.6,0.02,4,202000,666,3.1296296296296298,54,228
0.6,0.02,5,202100,678,2.5357142857142856,56,243
0.6,0.02,6,202200,669,3.2093023255813953,43,253
0.6,0.02,7,202300,682,3.4444444444444446,36,244
0.6,0.02,8,202400,651,3.180327868852459,61,240
0.6,0.02,9,202500,681,2.6578947368421053,38,267
0.6,0.02,10,202600,655,2.9166666666666665,60,240
0.6,0.02,11,202700,653,3.5714285714285716,56,246
0.6,0.02,12,202800,678,2.5609756097560976,41,262
0.6,0.02,13,202900,658,3.5714285714285716,49,243
0.6,0.02,14,203000,684,2.2452830188679247,53,251
0.6,0.02,15,203100,668,3.0,54,242
0.6,0.02,16,203200,675,2.891304347826087,46,242
0.6,0.02,17,203300,650,3.4642857142857144,56,235
0.6,0.02,18,203400,663,3.608695652173913,46,251
0.6,0.02,19,203500,665,2.9814814814814814,54,234
0.8,0.02,0,201800,657,3.6041666666666665,48,233
0.8,0.02,1,201900,665,4.317073170731708,41,225
0.8,0.02,2,202000,658,3.450980392156863,51,225
0.8,0.02,3,202100,662,3.4444444444444446,54,236
0.8,0.02,4,202200,654,4.190476190476191,42,246
0.8,0.02,5,202300,663,3.9285714285714284,42,237
0.8,0.02,6,202400,636,4.0,58,235
0.8,0.02,7,202500,672,3.238095238095238,42,263
0.8,0.02,8,202600,662,3.1875,48,242
0.8,0.02,9,202700,656,4.0,48,248
0.8,0.02,10,202800,634,4.415094339622642,53,244
