remote_share,sync_help_weight,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
0.0,1.0,15,1010000001015,716,17073,1.4445239799570508,1397,6187,0.8915535779915926,1
0.0,1.0,16,1010000001016,710,17145,1.4131832797427653,1244,6208,0.8806932763200029,2
0.0,1.0,17,1010000001017,706,17109,1.4166666666666667,1284,6282,0.8809184393189383,1
0.0,1.0,18,1010000001018,713,17152,1.3817330210772834,1281,6204,0.8566072093287458,1
0.0,1.0,19,1010000001019,731,17169,1.3577759871071717,1241,6255,0.896331181993224,0
0.2,1.0,0,1010000201000,713,17042,1.6111566858080393,1219,6193,0.8853416044003073,1
0.2,1.0,1,1010000201001,727,17062,1.569007263922518,1239,6193,0.8953436680752309,0
0.2,1.0,2,1010000201002,706,17049,1.5938261575954509,1231,6150,0.8923766068259411,2
0.2,1.0,3,1010000201003,709,17055,1.545945945945946,1295,6190,0.8957126036147836,0
0.2,1.0,4,1010000201004,719,17069,1.519721577726218,1293,6162,0.8824394796532179,1
0.2,1.0,5,1010000201005,701,17105,1.5228595178719866,1203,6136,0.866393038859939,1
0.2,1.0,6,1010000201006,718,17080,1.5035573122529644,1265,6184,0.8956024817673711,1
0.2,1.0,7,1010000201007,707,17025,1.626926196269262,1233,6193,0.8895073667901695,1
0.2,1.0,8,1010000201008,704,17012,1.5981308411214954,1284,6210,0.8951634004893458,1
0.2,1.0,9,1010000201009,718,17048,1.565217391304348,1242,6223,0.8850768653843545,2
0.2,1.0,10,1010000201010,714,17027,1.5912698412698412,1260,6245,0.8666808387674056,2
0.2,1.0,11,1010000201011,722,17055,1.577175697865353,1218,6238,0.8953655575242403,1
0.2,1.0,12,1010000201012,708,17071,1.5240863787375416,1204,6310,0.8700263125858244,2
0.2,1.0,13,1010000201013,706,17058,1.5687242798353909,1215,6212,0.8936466779633486,1
0.2,1.0,14,1010000201014,710,17035,1.6289095519864751,1183,6249,0.8944161378940988,2
0.2,1.0,15,1010000201015,720,17057,1.591503267973856,1224,6209,0.8675585602686556,2
0.2,1.0,16,1010000201016,724,17091,1.5165723524656427,1237,6211,0.895877234529317,1
0.2,1.0,17,1010000201017,702,17015,1.6751854905193735,1213,6156,0.8710728549310961,2
0.2,1.0,18,1010000201018,711,17059,1.557085020242915,1235,6213,0.895123872176257,1
0.2,1.0,19,1010000201019,709,17034,1.5974338412189255,1247,6221,0.8954309657146619,1
0.4,1.0,0,1010000401000,703,16969,1.704983922829582,1244,6172,0.8953970193370127,1
0.4,1.0,1,1010000401001,720,16977,1.6876494023904383,1255,6184,0.8960269481198132,0
0.4,1.0,2,1010000401002,707,16987,1.7036727879799667,1198,6214,0.8903888581427953,2
0.4,1.0,3,1010000401003,720,17002,1.6558061821219716,1197,6212,0.8926386740158192,1
0.4,1.0,4,1010000401004,710,16932,1.7137129109863674,1247,6276,0.8537093240690454,3
0.4,1.0,5,1010000401005,707,16972,1.743795036028823,1249,6082,0.8953982795470162,0
0.4,1.0,6,1010000401006,713,16948,1.7483766233766234,1232,6199,0.8739695208917919,2
0.4,1.0,7,1010000401007,720,16934,1.7661612130885873,1253,6174,0.8254733892590538,3
0.4,1.0,8,1010000401008,713,16971,1.720527617477329,1213,6191,0.8926304706457033,1
0.4,1.0,9,1010000401009,716,16963,1.719284603421462,1286,6125,0.894751713685815,1
0.4,1.0,10,1010000401010,716,16882,1.8093819806403575,1343,6092,0.8593630070425764,1
0.4,1.0,11,1010000401011,693,16986,1.6849315068493151,1241,6138,0.8591618509159342,1
0.4,1.0,12,1010000401012,727,17004,1.644515612489992,1249,6214,0.8958447404837304,0
0.4,1.0,13,1010000401013,701,16910,1.8705688375927452,1213,6125,0.8334693809797251,3
0.4,1.0,14,1010000401014,726,16973,1.7284552845528456,1230,6144,0.8891344332157158,2
0.4,1.0,15,1010000401015,715,16973,1.6379707916986934,1301,6195,0.8887112943742366,1
0.4,1.0,16,1010000401016,721,16984,1.6832247557003257,1228,6158,0.8837977001864605,2
0.4,1.0,17,1010000401017,705,16944,1.7272012578616351,1272,6166,0.8803131439526218,1
0.4,1.0,18,1010000401018,711,16951,1.6651198762567672,1293,6254,0.8811861672466555,1
0.4,1.0,19,1010000401019,728,16971,1.6910246227164416,1259,6191,0.8961512527735707,0
0.6,1.0,0,1010000601000,700,16868,1.8934624697336562,1239,6174,0.8921613889871505,1
0.6,1.0,1,1010000601001,701,16813,1.9619952494061759,1263,6166,0.8932628095287194,1
0.6,1.0,2,1010000601002,709,16933,1.7658697444352844,1213,6236,0.8788880412911082,1
0.6,1.0,3,1010000601003,712,16887,1.8743801652892562,1210,6160,0.8610132829891178,2
0.6,1.0,4,1010000601004,710,16919,1.8071895424836601,1224,6168,0.8649101824043963,2
0.6,1.0,5,1010000601005,716,16886,1.8896321070234114,1196,6171,0.8716678022739888,2
0.6,1.0,6,1010000601006,707,16901,1.7396403440187647,1279,6257,0.8961080879987808,0
0.6,1.0,7,1010000601007,706,16932,1.8566493955094991,1158,6168,0.8948740863424085,0
0.6,1.0,8,1010000601008,714,16897,1.8898931799506984,1217,6087,0.8882069964000575,3
0.6,1.0,9,1010000601009,719,16921,1.8248772504091653,1222,6108,0.8950157937813141,0
0.6,1.0,10,1010000601010,706,16906,1.8855721393034826,1206,6107,0.8716790607122921,4
0.6,1.0,11,1010000601011,719,16881,1.876898481215028,1251,6116,0.895470728086716,1
0.6,1.0,12,1010000601012,702,16894,1.8333333333333333,1248,6173,0.8259046313430582,4
0.6,1.0,13,1010000601013,711,16920,1.854515050167224,1196,6174,0.8954093526644533,0
0.6,1.0,14,1010000601014,717,16927,1.825345247766044,1231,6134,0.8960084095103718,0
0.6,1.0,15,1010000601015,708,16925,1.8282504012841092,1246,6072,0.8953885526786042,1
0.6,1.0,16,1010000601016,719,16837,1.9223454833597464,1262,6184,0.8873959071172328,2
0.6,1.0,17,1010000601017,713,16844,1.9966273187183812,1186,6176,0.8790980226432472,3
0.6,1.0,18,1010000601018,731,16903,1.8250197941409343,1263,6117,0.8956903907072787,1
0.6,1.0,19,1010000601019,715,16936,1.7712895377128954,1233,6131,0.89290205938908,1
0.8,1.0,0,1010000801000,713,16790,2.0659163987138265,1244,6046,0.895558716160879,0
0.8,1.0,1,1010000801001,718,16716,2.1471048513302033,1278,6063,0.8876589848263094,2
0.8,1.0,2,1010000801002,715,16756,2.0642347343378273,1261,6117,0.891292285952999,1
0.8,1.0,3,1010000801003,706,16788,2.0529747351263246,1227,6103,0.8716332827025287,3
0.8,1.0,4,1010000801004,708,16771,2.0689375506893755,1233,6130,0.8950821601681958,0
0.8,1.0,5,1010000801005,716,16776,2.0634417129262492,1261,6063,0.8618696839385322,2
0.8,1.0,6,1010000801006,701,16826,1.968874700718276,1253,6070,0.8882815543022715,1
0.8,1.0,7,1010000801007,729,16788,2.125,1192,6075,0.885415557270959,1
0.8,1.0,8,1010000801008,694,16764,2.041935483870968,1240,6132,0.8926933453713051,1
0.8,1.0,9,1010000801009,720,16866,1.8954983922829582,1244,6134,0.8806280417235424,2
0.8,1.0,10,1010000801010,714,16863,1.9111111111111112,1215,6162,0.8957905446448992,0
0.8,1.0,11,1010000801011,703,16713,2.2129934210526314,1216,6074,0.8870867704495872,3
0.8,1.0,12,1010000801012,710,16782,2.118987341772152,1185,6113,0.892836678795131,1
0.8,1.0,13,1010000801013,717,16805,2.0205254515599345,1218,6137,0.8891273876625428,1
0.8,1.0,14,1010000801014,719,16838,1.9636062861869314,1209,6170,0.8953719215857092,0
0.8,1.0,15,1010000801015,698,16703,2.1768924302788846,1255,6110,0.8517734523132525,2
0.8,1.0,16,1010000801016,711,16832,1.9591666666666667,1200,6203,0.8956585644901768,0
0.8,1.0,17,1010000801017,712,16786,2.1027568922305764,1197,6102,0.8455560553533527,3
0.8,1.0,18,1010000801018,714,16845,1.9078740157480314,1270,6075,0.89586669528125,0
0.8,1.0,19,1010000801019,715,16763,2.174831081081081,1184,6085,0.8879344826789856,2
1.0,1.0,0,1010001001000,707,16764,2.0926385442514475,1209,6111,0.8957688197141669,0
1.0,1.0,1,1010001001001,720,16744,2.131600324939074,1231,6066,0.895190603654668,1
1.0,1.0,2,1010001001002,707,16746,2.1625207296849087,1206,6077,0.8948717414563724,0
1.0,1.0,3,1010001001003,719,16771,2.065040650406504,1230,6136,0.8861953856564865,1
1.0,1.0,4,1010001001004,716,16732,2.1902439024390246,1230,6040,0.8890937777238967,1
1.0,1.0,5,1010001001005,698,16694,2.1842532467532467,1232,6130,0.8741911747620372,3
1.0,1.0,6,1010001001006,710,16704,2.2436213991769547,1215,6070,0.8952159852196914,0
